ine_code;municipality;province;ccaa;year;deceased;injured_hospitalized;injured_not_hospitalized
01001;Alegría-Dulantzi;Araba/Álava;País Vasco;2023;0;0;0
01002;Amurrio;Araba/Álava;País Vasco;2023;0;0;1
01003;Aramaio;Araba/Álava;País Vasco;2023;0;0;0
01004;Artziniega;Araba/Álava;País Vasco;2023;0;0;0
01006;Armiñón;Araba/Álava;País Vasco;2023;0;0;0
01008;Arratzua-Ubarrundia;Araba/Álava;País Vasco;2023;0;0;2
01009;Asparrena;Araba/Álava;País Vasco;2023;0;1;0
01010;Ayala/Aiara;Araba/Álava;País Vasco;2023;0;0;1
01011;Baños de Ebro/Mañueta;Araba/Álava;País Vasco;2023;0;0;0
01013;Barrundia;Araba/Álava;País Vasco;2023;0;0;2
01014;Berantevilla;Araba/Álava;País Vasco;2023;0;0;0
01016;Bernedo;Araba/Álava;País Vasco;2023;0;0;3
01017;Campezo/Kanpezu;Araba/Álava;País Vasco;2023;0;0;3
01018;Zigoitia;Araba/Álava;País Vasco;2023;0;1;2
01019;Kripan;Araba/Álava;País Vasco;2023;0;0;0
01020;Kuartango;Araba/Álava;País Vasco;2023;0;0;0
01021;Elburgo/Burgelu;Araba/Álava;País Vasco;2023;0;0;0
01022;Elciego;Araba/Álava;País Vasco;2023;0;0;1
01023;Elvillar/Bilar;Araba/Álava;País Vasco;2023;0;0;0
01027;Iruraiz-Gauna;Araba/Álava;País Vasco;2023;0;0;1
01028;Labastida/Bastida;Araba/Álava;País Vasco;2023;0;0;2
01030;Lagrán;Araba/Álava;País Vasco;2023;0;0;0
01031;Laguardia;Araba/Álava;País Vasco;2023;0;1;8
01032;Lanciego/Lantziego;Araba/Álava;País Vasco;2023;0;0;1
01033;Lapuebla de Labarca;Araba/Álava;País Vasco;2023;0;0;1
01034;Leza;Araba/Álava;País Vasco;2023;0;0;0
01036;Laudio/Llodio;Araba/Álava;País Vasco;2023;0;0;0
01037;Arraia-Maeztu;Araba/Álava;País Vasco;2023;0;0;0
01039;Moreda de Álava/Moreda Araba;Araba/Álava;País Vasco;2023;0;0;0
01041;Navaridas;Araba/Álava;País Vasco;2023;0;0;0
01042;Okondo;Araba/Álava;País Vasco;2023;0;1;1
01043;Oyón-Oion;Araba/Álava;País Vasco;2023;0;0;5
01044;Peñacerrada-Urizaharra;Araba/Álava;País Vasco;2023;0;0;0
01046;Erriberagoitia/Ribera Alta;Araba/Álava;País Vasco;2023;0;0;1
01047;Ribera Baja/Erribera Beitia;Araba/Álava;País Vasco;2023;0;0;1
01049;Añana;Araba/Álava;País Vasco;2023;0;0;0
01051;Salvatierra/Agurain;Araba/Álava;País Vasco;2023;0;0;7
01052;Samaniego;Araba/Álava;País Vasco;2023;0;0;0
01053;San Millán/Donemiliaga;Araba/Álava;País Vasco;2023;0;0;0
01054;Urkabustaiz;Araba/Álava;País Vasco;2023;0;0;0
01055;Valdegovía/Gaubea;Araba/Álava;País Vasco;2023;0;0;0
01056;Harana/Valle de Arana;Araba/Álava;País Vasco;2023;0;0;0
01057;Villabuena de Álava/Eskuernaga;Araba/Álava;País Vasco;2023;0;0;0
01058;Legutio;Araba/Álava;País Vasco;2023;0;0;0
01059;Vitoria-Gasteiz;Araba/Álava;País Vasco;2023;1;51;586
01060;Yécora/Iekora;Araba/Álava;País Vasco;2023;0;0;0
01061;Zalduondo;Araba/Álava;País Vasco;2023;0;0;0
01062;Zambrana;Araba/Álava;País Vasco;2023;0;0;0
01063;Zuia;Araba/Álava;País Vasco;2023;1;0;1
01901;Iruña Oka/Iruña de Oca;Araba/Álava;País Vasco;2023;1;0;0
01902;Lantarón;Araba/Álava;País Vasco;2023;0;0;2
02000;Albacete ( municipio sin especificar);Albacete;Castilla-La Mancha;2023;;;
02001;Abengibre;Albacete;Castilla-La Mancha;2023;0;0;0
02002;Alatoz;Albacete;Castilla-La Mancha;2023;0;0;0
02003;Albacete;Albacete;Castilla-La Mancha;2023;5;36;419
02004;Albatana;Albacete;Castilla-La Mancha;2023;0;3;3
02005;Alborea;Albacete;Castilla-La Mancha;2023;0;0;0
02006;Alcadozo;Albacete;Castilla-La Mancha;2023;0;0;0
02007;Alcalá del Júcar;Albacete;Castilla-La Mancha;2023;0;0;0
02008;Alcaraz;Albacete;Castilla-La Mancha;2023;0;0;0
02009;Almansa;Albacete;Castilla-La Mancha;2023;0;0;0
02010;Alpera;Albacete;Castilla-La Mancha;2023;0;0;2
02011;Ayna;Albacete;Castilla-La Mancha;2023;0;0;0
02012;Balazote;Albacete;Castilla-La Mancha;2023;0;0;0
02013;Balsa de Ves;Albacete;Castilla-La Mancha;2023;;;
02014;"Ballestero; El";Albacete;Castilla-La Mancha;2023;0;0;0
02015;Barrax;Albacete;Castilla-La Mancha;2023;0;0;1
02016;Bienservida;Albacete;Castilla-La Mancha;2023;0;0;0
02017;Bogarra;Albacete;Castilla-La Mancha;2023;0;0;1
02018;Bonete;Albacete;Castilla-La Mancha;2023;0;0;0
02019;"Bonillo; El";Albacete;Castilla-La Mancha;2023;0;0;0
02020;Carcelén;Albacete;Castilla-La Mancha;2023;0;0;0
