autonomous_community;province;truck;van;bus;car;motocycle;other_vehicle;year
Andalucia;Jaen;2620;3710;55;19639;3297;774;2023
Andalucia;Granada;3127;3787;99;33356;9888;1099;2023
Andalucia;Malaga;6254;8913;133;80556;19402;1435;2023
Andalucia;Cordoba;2562;3273;38;28330;5652;628;2023
Andalucia;Cadiz;3366;2662;20;45097;12541;832;2023
Andalucia;Almeria;3350;2476;34;25675;4320;549;2023
Andalucia;Sevilla;7397;5578;97;72045;13453;1502;2023
Andalucia;Huelva;1720;972;37;15465;3163;453;2023
Aragon;Zaragoza;2988;4402;55;39804;6791;1008;2023
Aragon;Teruel;1905;1099;4;5545;481;119;2023
Aragon;Huesca;1494;1199;17;9452;900;314;2023
Canarias;Santa Cruz de Tenerife;7614;5544;212;47106;9429;1203;2023
Cantabria;Cantabria;1966;1936;24;23810;4081;533;2023
Castilla y Leon;Segovia;493;490;11;4473;2143;197;2023
Castilla y Leon;Salamanca;973;1064;48;13084;1429;327;2023
Castilla y Leon;Palencia;437;540;25;4758;552;249;2023
Castilla y Leon;Zamora;604;596;8;5282;657;158;2023
Castilla y Leon;Soria;382;361;11;2781;304;86;2023
Castilla y Leon;Leon;1559;2034;89;16644;2259;460;2023
Castilla y Leon;Valladolid;1567;1560;20;18754;3241;377;2023
Castilla y Leon;Avila;447;628;2;4268;534;196;2023
Castilla y Leon;Burgos;1107;1238;29;13101;1438;384;2023
Castilla-La Mancha;Toledo;4907;8127;232;58793;4435;857;2023
Castilla-La Mancha;Albacete;1621;1269;29;11412;2484;220;2023
Castilla-La Mancha;Cuenca;792;630;16;4419;668;233;2023
Castilla-La Mancha;Ciudad Real;1870;1710;36;13028;1815;348;2023
Castilla-La Mancha;Guadalajara;681;1107;24;8860;1424;247;2023
Cataluna;Lleida;2805;1941;28;19602;3016;549;2023
Cataluna;Girona;3652;5624;46;38424;9228;987;2023
Cataluna;Tarragona;3971;4330;30;38886;8124;856;2023
Cataluna;Barcelona;26119;43307;310;373549;76524;6050;2023
Ceuta;Ceuta;114;447;14;2835;1418;50;2023
Comunidad Foral de Navarra;Navarra;2434;3470;102;25117;3758;915;2023
Comunidad Valenciana;Alicante;8741;8183;159;129170;16644;1385;2023
Comunidad Valenciana;Valencia;10266;8348;128;105081;22358;1733;2023
Comunidad Valenciana;Castellon;3414;3590;23;32866;3464;460;2023
Comunidad de Madrid;Madrid;54245;119351;964;909360;53886;4829;2023
Extremadura;Caceres;1309;1331;38;9114;1653;340;2023
Extremadura;Badajoz;1406;2177;32;19038;2865;546;2023
Galicia;Ourense;1010;1108;63;11613;1113;221;2023
Galicia;Lugo;1223;2118;81;12209;1176;349;2023
Galicia;Pontevedra;2402;2434;91;33083;6416;873;2023
Melilla;Melilla;128;1042;0;3929;795;50;2023
Pais Vasco;Gipuzkoa;2484;2510;86;26097;5441;800;2023
Pais Vasco;Araba/Alava;1126;1382;54;13190;1675;607;2023
Region de Murcia;Murcia;5531;5833;79;60485;11248;1042;2023
Balears (Illes);Ibiza;5525;3420;347;72483;12128;453;2023
Coruna (A);Elviña;3040;3186;166;46570;4564;991;2023
Rioja (La);Rioja;1473;1379;40;10967;1663;310;2023
Asturias;Asturias;3171;4270;102;43738;6139;1165;2023
Palmas (Las);Palma;10540;6597;202;72451;10096;1248;2023
Bizkaia;Bizkaia;3872;3764;209;45066;6651;1002;2023

